n-digits,Grade School,Divide and Conquer,Karatsuba
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,1
9,0,0,0
10,0,0,0
11,0,0,0
12,0,1,0
13,0,0,0
14,0,1,0
15,0,0,2
16,0,0,0
17,1,0,0
18,0,0,0
19,1,0,0
20,0,1,0
21,0,2,0
22,0,0,0
23,0,2,0
24,0,0,0
25,1,0,1
26,0,0,1
27,0,1,0
28,1,0,1
29,0,1,0
30,1,1,0
31,1,0,1
32,0,1,0
33,1,2,0
34,1,2,1
35,0,2,1
36,0,3,0
37,1,2,1
38,0,2,1
39,1,2,2
40,1,3,2
41,1,4,1
42,0,2,1
43,1,2,1
44,0,3,1
45,0,2,2
46,0,2,1
47,1,2,1
48,1,2,2
49,1,2,1
50,1,2,1
51,1,2,2
52,0,3,1
53,1,2,2
54,1,2,2
55,1,2,2
56,1,3,1
57,2,2,2
58,1,2,2
59,1,2,2
60,1,2,2
61,1,2,2
62,1,3,1
63,2,2,2
64,1,2,2
65,2,8,2
66,1,9,3
67,1,9,2
68,2,8,3
69,1,10,2
70,2,9,2
71,2,8,3
72,1,9,2
73,2,10,2
74,2,9,3
75,2,8,2
76,2,9,2
77,2,8,3
78,2,8,3
79,2,8,3
80,2,8,3
81,2,9,3
82,2,9,3
83,2,8,3
84,3,9,3
85,2,9,3
86,3,8,3
87,3,8,3
88,3,8,3
89,3,9,4
90,3,9,3
91,3,9,3
92,3,8,4
93,3,8,3
94,3,9,3
95,4,8,4
96,3,9,3
97,2,9,4
98,3,8,4
99,3,9,4
100,3,8,4
101,4,8,5
102,3,8,4
103,3,9,4
104,3,8,4
105,3,9,4
106,3,9,4
107,4,8,5
108,3,9,4
109,4,9,5
110,3,9,5
111,4,8,5
112,4,8,5
113,4,9,5
114,4,8,4
115,5,8,6
116,4,9,6
117,4,9,5
118,4,9,5
119,5,9,7
120,5,9,6
121,5,10,6
122,5,8,6
123,5,9,7
124,5,8,6
125,5,9,6
126,5,11,7
127,5,9,8
128,6,10,8
129,6,44,7
130,6,38,6
131,6,33,6
